        # step       J       T       B             H             M           chi
         35800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         35900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         36900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         37900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         38900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         39900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         40900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         41900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         42900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         43500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
